brand,price,old,brake,drivetrain,material
스페셜라이즈드 ,2300000,2020,디스크 브레이크,SHIMANO 105,카본
비앙키 ,10000000,2020,디스크 브레이크,기타,카본
기타 ,2950000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
리브 ,2000000,2021,디스크 브레이크,SHIMANO 105,카본
기타 ,5800000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,4400000,2018,림 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,3400000,2019,림 브레이크,SHIMANO 105,알루미늄
비앙키 ,3800000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,1300000,2016,림 브레이크,기타,카본
자이언트 ,1950000,2017,림 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,3300000,2019,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,2000000,2015,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,3000000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
메리다 ,800000,2016,림 브레이크,SHIMANO 105,알루미늄
엘파마 ,600000,2015,림 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,2500000,2020,디스크 브레이크,SHIMANO 105,카본
스캇 ,3000000,2015,림 브레이크,SHIMANO DURA-ACE,카본
